WMO ID,City Name,BMKG Station Name,Latitude,Longitude
96015,Banda Aceh,Sultan Iskandar Muda,5.52,95.42
96163,Natuna,Ranai,3.91,108.39
96509,Tarakan,Juwata,3.33,117.57
96645,Pangkalan Bun,Iskandar,-2.7,111.7
96805,Cilacap,Tunggul Wulung,-7.73,109.02
97502,Sorong,Domine Eduard Osok,-0.89,131.29
96743,Jakarta,Soekarno-Hatta,-6.12,106.85
97014,Manado,Sam Ratulangi,1.53,124.92
97372,Kupang,El Tari,-10.17,123.67
97180,Makassar,Sultan Hasanuddin,-5.06,119.55
96935,Sidoarjo,Juanda,-7.38,112.78
