flight_id,primary,secondary,combined_code,confidence,valid,is_premature,burst_pres,launch_time,burst_height_m
441,Balloon Burst,Deep Convection,BUR-CNB-100,0.96,True,False,25.3,2025-11-19 11:22:30+00:00,24745.0
442,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,53.7,2025-11-19 11:35:12+00:00,20147.0
443,Balloon Burst,Strong Shear,BUR-SHR-100,0.96,True,True,80.7,2025-11-19 11:35:31+00:00,17775.0
444,Balloon Burst,Strong Shear,BUR-SHR-100,0.77,True,True,98.4,2025-11-19 11:30:42+00:00,16675.0
446,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,10.9,2025-11-19 23:36:22+00:00,30325.0
447,Balloon Burst,Strong Shear,BUR-SHR-100,0.98,True,False,21.6,2025-11-19 23:38:44+00:00,25867.0
448,Balloon Burst,Strong Shear,BUR-SHR-100,0.87,True,False,14.3,2025-11-19 23:33:21+00:00,28529.0
449,Balloon Burst,Cloud/Rain Layer,BUR-CLD-100,0.96,True,False,9.9,2025-11-19 23:35:21+00:00,30946.0
450,Ascent Stop,Strong Shear,ASC-SHR-UNK,1.0,True,True,56.1,2025-11-19 23:30:32+00:00,19886.0
452,Balloon Burst,Strong Shear,BUR-SHR-100,0.79,True,False,12.5,2025-11-20 11:31:45+00:00,29392.0
453,Balloon Burst,Deep Convection,BUR-CNB-100,0.97,True,False,16.1,2025-11-20 11:41:25+00:00,27696.0
454,Balloon Burst,Strong Shear,BUR-SHR-100,0.96,True,True,72.4,2025-11-20 11:41:01+00:00,18392.0
455,Balloon Burst,Cloud/Rain Layer,BUR-CLD-100,0.91,True,True,70.1,2025-11-20 11:35:42+00:00,18583.0
456,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,46.1,2025-11-20 11:30:52+00:00,21009.0
457,Balloon Burst,Cloud/Rain Layer,BUR-CLD-100,0.83,True,False,14.0,2025-11-20 23:49:35+00:00,28603.0
458,Balloon Burst,Strong Shear,BUR-SHR-100,0.93,True,False,23.3,2025-11-20 23:32:37+00:00,25284.0
459,Temperature KO,Unknown,TMP-UNK-UNK,0.0,False,True,342.4,2025-11-20 23:46:02+00:00,8776.0
460,Balloon Burst,Strong Shear,BUR-SHR-100,0.92,True,False,9.7,2025-11-20 23:41:04+00:00,31154.0
461,Balloon Burst,Strong Shear,BUR-SHR-100,0.9,True,False,16.7,2025-11-20 23:35:53+00:00,27395.0
462,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,109.5,2025-11-20 23:34:00+00:00,16081.0
464,Balloon Burst,Strong Shear,BUR-SHR-100,0.76,True,False,17.0,2025-11-21 11:31:27+00:00,27299.0
465,Balloon Burst,Strong Shear,BUR-SHR-100,0.92,True,False,19.9,2025-11-21 11:33:46+00:00,26265.0
467,Balloon Burst,Strong Shear,BUR-SHR-100,0.99,True,True,76.9,2025-11-21 11:36:23+00:00,18054.0
470,Balloon Burst,Strong Shear,BUR-SHR-100,0.78,True,False,25.8,2025-11-21 23:32:25+00:00,24640.0
473,Balloon Burst,Strong Shear,BUR-SHR-100,0.96,True,False,7.3,2025-11-21 23:35:48+00:00,33050.0
474,Balloon Burst,Strong Shear,BUR-SHR-100,0.8,True,False,29.7,2025-11-21 23:30:51+00:00,23724.0
475,Balloon Burst,Strong Shear,BUR-SHR-100,0.87,True,True,107.0,2025-11-22 11:40:43+00:00,16204.0
477,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,11.5,2025-11-22 11:42:31+00:00,29960.0
478,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,44.6,2025-11-22 11:33:10+00:00,21235.0
479,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,73.7,2025-11-22 11:37:25+00:00,18290.0
481,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.93,True,False,13.0,2025-11-22 23:44:10+00:00,29029.0
482,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,537.8,2025-11-22 23:35:50+00:00,5303.0
483,Balloon Burst,Deep Convection,BUR-CNB-100,0.98,True,False,13.0,2025-11-22 23:27:52+00:00,29207.0
484,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.8,True,False,12.0,2025-11-22 23:36:56+00:00,29628.0
485,Balloon Burst,Strong Shear,BUR-SHR-100,0.95,True,False,8.0,2025-11-22 23:36:02+00:00,32353.0
486,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,54.4,2025-11-22 23:31:36+00:00,20046.0
487,Balloon Burst,RH Freeze-out,BUR-FRZ-100,0.68,True,True,101.5,2025-11-23 11:30:34+00:00,16485.0
488,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,11.5,2025-11-23 11:30:53+00:00,29945.0
489,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,15.7,2025-11-23 11:32:53+00:00,27873.0
490,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,569.2,2025-11-23 11:32:58+00:00,4837.0
491,Balloon Burst,Strong Shear,BUR-SHR-100,0.94,True,True,61.0,2025-11-23 11:34:08+00:00,19371.0
492,Balloon Burst,Strong Shear,BUR-SHR-100,0.77,True,True,118.2,2025-11-23 11:30:37+00:00,15672.0
493,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.8,True,False,20.5,2025-11-23 23:44:51+00:00,26054.0
494,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,10.8,2025-11-23 23:36:54+00:00,30353.0
495,Balloon Burst,Deep Convection,BUR-CNB-100,0.99,True,False,10.3,2025-11-23 23:49:02+00:00,30743.0
496,Balloon Burst,Strong Shear,BUR-SHR-100,0.79,True,False,26.9,2025-11-23 23:32:58+00:00,24426.0
497,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,42.8,2025-11-23 23:36:11+00:00,21482.0
498,Ascent Stop,Deep Convection,ASC-CNB-UNK,0.92,True,True,42.5,2025-11-23 23:30:39+00:00,21547.0
499,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,56.1,2025-11-24 11:31:19+00:00,19866.0
500,Balloon Burst,Strong Shear,BUR-SHR-100,0.84,True,False,18.7,2025-11-24 11:36:09+00:00,26691.0
501,Balloon Burst,Deep Convection,BUR-CNB-100,0.96,True,False,15.4,2025-11-24 11:42:27+00:00,27954.0
503,Balloon Burst,Cloud/Rain Layer,BUR-CLD-100,0.92,True,True,61.6,2025-11-24 11:32:53+00:00,19317.0
504,Ascent Stop,Unknown,ASC-UNK-UNK,0.0,False,True,48.2,2025-11-24 11:30:57+00:00,20781.0
505,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,49.1,2025-11-24 23:48:15+00:00,20636.0
506,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.78,True,False,12.7,2025-11-24 23:31:13+00:00,29259.0
507,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,13.2,2025-11-24 23:32:00+00:00,29064.0
508,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,11.1,2025-11-24 23:33:51+00:00,30150.0
510,Ascent Stop,Slow Ascent,ASC-ASN-UNK,0.98,True,True,52.4,2025-11-24 23:30:38+00:00,20293.0
511,Balloon Burst,RH Freeze-out,BUR-FRZ-100,0.73,True,True,74.9,2025-11-25 11:31:08+00:00,18180.0
512,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,64.0,2025-11-25 11:37:05+00:00,19124.0
513,Balloon Burst,Deep Convection,BUR-CNB-100,0.98,True,True,55.6,2025-11-25 11:32:37+00:00,19932.0
514,Ascent Stop,Unknown,ASC-UNK-UNK,0.0,False,True,53.5,2025-11-25 11:36:09+00:00,20169.0
516,Ascent Stop,Slow Ascent,ASC-ASN-UNK,0.96,True,True,100.9,2025-11-25 11:31:06+00:00,16557.0
517,Balloon Burst,Strong Shear,BUR-SHR-100,0.82,True,False,21.7,2025-11-25 23:31:39+00:00,25762.0
519,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.76,True,False,10.5,2025-11-25 23:41:27+00:00,30573.0
